id,device_id,name,gender,age,country,city,phone,tags,register_time,login_time,ext_fields,event_count,event_value_sum,event_value_mean,event_active_days,event_unique_scene_count,event_unique_item_count,event_first_time,event_last_time,event_recency_seconds,event_count_1d,event_count_7d,event_count_30d,event_click_count,event_expose_count,event_buy_count,event_collect_count,event_stay_count,event_click_rate
user_0,1e92d314-5ce4-11ed-803e-0000000021e7,name_0,1,79,country_0,city_1,phone_0,tags_67,1667107780,1667321625,{},7,7,1.0,5,3,7,1667085795,1667626936,10095.0,1,7,7,7,0,0,0,0,1.0
user_1,1e92d602-5ce4-11ed-8035-000000000a46,name_1,1,77,country_0,city_2,phone_1,tags_80,1667080441,1667242835,{},10,10,1.0,7,3,10,1667035563,1667542188,94843.0,0,10,10,10,0,0,0,0,1.0
user_2,1e92d7ce-5ce4-11ed-8005-0000000019cd,name_2,0,67,country_0,city_7,phone_2,tags_85,1667480350,1667580088,{},9,9,1.0,7,3,9,1667041433,1667612756,24275.0,2,9,9,9,0,0,0,0,1.0
user_3,1e92d97c-5ce4-11ed-8027-0000000024e0,name_3,1,25,country_0,city_7,phone_3,tags_42,1667374619,1667322117,{},9,9,1.0,4,3,9,1667133110,1667629912,7119.0,1,9,9,9,0,0,0,0,1.0
user_4,1e92db16-5ce4-11ed-803a-00000000269c,name_4,0,69,country_0,city_2,phone_4,tags_71,1667052630,1667327394,{},4,4,1.0,4,2,4,1667130106,1667531927,105104.0,0,4,4,4,0,0,0,0,1.0
user_5,1e92dca6-5ce4-11ed-800d-0000000007da,name_5,1,70,country_0,city_5,phone_5,tags_9,1667057740,1667564963,{},9,9,1.0,7,3,9,1667075419,1667580830,56201.0,1,9,9,9,0,0,0,0,1.0
user_6,1e92de68-5ce4-11ed-8015-000000001d7c,name_6,0,78,country_0,city_2,phone_6,tags_45,1667124490,1667415639,{},13,13,1.0,5,3,13,1667041771,1667585341,51690.0,2,13,13,13,0,0,0,0,1.0
user_7,1e92e1ec-5ce4-11ed-8003-000000001cd8,name_7,0,76,country_0,city_7,phone_7,tags_84,1667544490,1667350525,{},8,8,1.0,4,3,8,1667120291,1667593671,43360.0,2,8,8,8,0,0,0,0,1.0
user_8,1e92e4da-5ce4-11ed-8052-000000001750,name_8,0,5,country_0,city_1,phone_8,tags_47,1667271556,1667085492,{},9,9,1.0,6,3,9,1667064238,1667620679,16352.0,2,9,9,9,0,0,0,0,1.0
user_9,1e92e8ae-5ce4-11ed-803c-000000000b92,name_9,1,57,country_0,city_6,phone_9,tags_67,1667117790,1667518475,{},12,12,1.0,8,3,12,1667050578,1667632825,4206.0,3,12,12,12,0,0,0,0,1.0
user_10,1e92eb1a-5ce4-11ed-8048-0000000012ca,name_10,0,86,country_0,city_2,phone_10,tags_57,1667107058,1667253598,{},11,11,1.0,7,2,11,1667057677,1667636170,861.0,2,11,11,11,0,0,0,0,1.0
user_11,1e92ecdc-5ce4-11ed-8002-0000000005a8,name_11,1,38,country_0,city_6,phone_11,tags_28,1667214950,1667261438,{},12,12,1.0,8,3,12,1667068381,1667630414,6617.0,2,12,12,12,0,0,0,0,1.0
user_12,1e92ee80-5ce4-11ed-800e-000000001269,name_12,1,50,country_0,city_6,phone_12,tags_7,1667562070,1667301080,{},10,10,1.0,5,3,10,1667202277,1667558772,78259.0,1,10,10,10,0,0,0,0,1.0
user_13,1e92f01a-5ce4-11ed-803a-0000000000cd,name_13,1,39,country_0,city_1,phone_13,tags_30,1667069131,1667607723,{},10,10,1.0,6,3,10,1667069053,1667571744,65287.0,2,10,10,10,0,0,0,0,1.0
user_14,1e92f1b4-5ce4-11ed-8038-000000000d45,name_14,0,14,country_0,city_3,phone_14,tags_8,1667415367,1667228858,{},6,6,1.0,4,3,6,1667128471,1667522179,114852.0,0,6,6,6,0,0,0,0,1.0
user_15,1e92f344-5ce4-11ed-8012-00000000124a,name_15,0,70,country_0,city_1,phone_15,tags_0,1667262935,1667039112,{},9,9,1.0,7,3,9,1667099403,1667615190,21841.0,2,9,9,9,0,0,0,0,1.0
user_16,1e92f574-5ce4-11ed-8061-000000000584,name_16,0,7,country_0,city_1,phone_16,tags_64,1667369185,1667552369,{},10,10,1.0,7,2,10,1667059970,1667547719,89312.0,0,10,10,10,0,0,0,0,1.0
user_17,1e92f70e-5ce4-11ed-802a-000000000ea1,name_17,0,27,country_0,city_1,phone_17,tags_63,1667035294,1667372677,{},8,8,1.0,5,3,8,1667171167,1667535049,101982.0,0,8,8,8,0,0,0,0,1.0
user_18,1e92f89e-5ce4-11ed-8022-000000001a6b,name_18,0,9,country_0,city_4,phone_18,tags_67,1667418207,1667559064,{},13,13,1.0,7,3,13,1667040804,1667621899,15132.0,2,13,13,13,0,0,0,0,1.0
user_19,1e92fa38-5ce4-11ed-8003-0000000005bf,name_19,0,53,country_0,city_5,phone_19,tags_19,1667493891,1667633824,{},15,15,1.0,8,3,15,1667054485,1667629787,7244.0,3,15,15,15,0,0,0,0,1.0
user_20,1e92fbbe-5ce4-11ed-803e-000000001dbc,name_20,1,82,country_0,city_5,phone_20,tags_78,1667051232,1667591927,{},5,5,1.0,4,2,5,1667036982,1667474863,162168.0,0,5,5,5,0,0,0,0,1.0
user_21,1e92fd58-5ce4-11ed-803c-00000000256b,name_21,1,87,country_0,city_5,phone_21,tags_57,1667213934,1667331174,{},10,10,1.0,7,3,10,1667082387,1667574127,62904.0,1,10,10,10,0,0,0,0,1.0
user_22,1e92fee8-5ce4-11ed-8053-0000000026bc,name_22,1,53,country_0,city_0,phone_22,tags_100,1667582042,1667282042,{},10,10,1.0,6,3,10,1667075616,1667588110,48921.0,1,10,10,10,0,0,0,0,1.0
user_23,1e93006e-5ce4-11ed-804f-0000000008e2,name_23,0,14,country_0,city_9,phone_23,tags_17,1667347321,1667183272,{},8,8,1.0,5,3,8,1667153360,1667535189,101842.0,0,8,8,8,0,0,0,0,1.0
user_24,1e930208-5ce4-11ed-8036-000000000091,name_24,1,42,country_0,city_6,phone_24,tags_76,1667372198,1667510555,{},6,6,1.0,5,3,6,1667162225,1667537911,99120.0,0,6,6,6,0,0,0,0,1.0
user_25,1e930398-5ce4-11ed-8007-000000001521,name_25,0,6,country_0,city_2,phone_25,tags_24,1667427621,1667321785,{},9,9,1.0,6,3,9,1667077436,1667624241,12790.0,2,9,9,9,0,0,0,0,1.0
user_26,1e930528-5ce4-11ed-803e-000000000e6a,name_26,0,11,country_0,city_2,phone_26,tags_46,1667620951,1667177049,{},11,11,1.0,5,3,11,1667038781,1667516771,120260.0,0,11,11,11,0,0,0,0,1.0
user_27,1e930712-5ce4-11ed-805a-000000000d8b,name_27,1,74,country_0,city_4,phone_27,tags_80,1667437988,1667316828,{},7,7,1.0,6,3,7,1667067647,1667611294,25737.0,2,7,7,7,0,0,0,0,1.0
user_28,1e9308a2-5ce4-11ed-802f-0000000004a2,name_28,1,44,country_0,city_3,phone_28,tags_40,1667465359,1667545367,{},8,8,1.0,6,3,8,1667090468,1667574533,62498.0,2,8,8,8,0,0,0,0,1.0
user_29,1e930a3c-5ce4-11ed-802c-000000001f0d,name_29,0,34,country_0,city_1,phone_29,tags_44,1667582560,1667115010,{},14,14,1.0,7,3,14,1667039023,1667602685,34346.0,1,14,14,14,0,0,0,0,1.0
user_30,1e930bcc-5ce4-11ed-800d-000000002531,name_30,0,19,country_0,city_3,phone_30,tags_45,1667493666,1667370248,{},8,8,1.0,5,3,8,1667121989,1667543550,93481.0,0,8,8,8,0,0,0,0,1.0
user_31,1e930d5c-5ce4-11ed-8018-000000001ae0,name_31,1,53,country_0,city_2,phone_31,tags_41,1667332414,1667520934,{},5,5,1.0,5,3,5,1667128870,1667542020,95011.0,0,5,5,5,0,0,0,0,1.0
user_32,1e930ef6-5ce4-11ed-8047-000000000cc3,name_32,1,11,country_0,city_6,phone_32,tags_95,1667095572,1667184977,{},16,16,1.0,7,3,16,1667042380,1667632770,4261.0,6,16,16,16,0,0,0,0,1.0
user_33,1e9310e0-5ce4-11ed-802d-0000000007cc,name_33,1,51,country_0,city_5,phone_33,tags_0,1667494229,1667328818,{},15,15,1.0,7,3,15,1667127350,1667636540,491.0,6,15,15,15,0,0,0,0,1.0
user_34,1e931270-5ce4-11ed-8046-000000000234,name_34,0,85,country_0,city_7,phone_34,tags_15,1667529610,1667199640,{},11,11,1.0,6,3,11,1667155196,1667538879,98152.0,0,11,11,11,0,0,0,0,1.0
user_35,1e931400-5ce4-11ed-8004-00000000163b,name_35,0,36,country_0,city_4,phone_35,tags_82,1667129017,1667497018,{},13,13,1.0,7,3,12,1667047459,1667624869,12162.0,2,13,13,13,0,0,0,0,1.0
user_36,1e931590-5ce4-11ed-8047-000000001140,name_36,0,51,country_0,city_6,phone_36,tags_20,1667584972,1667125555,{},9,9,1.0,5,3,9,1667161585,1667604024,33007.0,1,9,9,9,0,0,0,0,1.0
user_37,1e931720-5ce4-11ed-803b-0000000014dd,name_37,1,49,country_0,city_6,phone_37,tags_100,1667341367,1667581785,{},8,8,1.0,6,3,8,1667124885,1667558412,78619.0,1,8,8,8,0,0,0,0,1.0
user_38,1e9318b0-5ce4-11ed-8009-000000000ddc,name_38,0,63,country_0,city_9,phone_38,tags_52,1667294898,1667310667,{},9,9,1.0,6,3,9,1667034698,1667613175,23856.0,1,9,9,9,0,0,0,0,1.0
user_39,1e931a5e-5ce4-11ed-8048-00000000012f,name_39,0,88,country_0,city_2,phone_39,tags_29,1667227842,1667180429,{},9,9,1.0,5,3,9,1667086931,1667578028,59003.0,2,9,9,9,0,0,0,0,1.0
user_40,1e931bee-5ce4-11ed-8017-0000000017d3,name_40,1,25,country_0,city_6,phone_40,tags_73,1667561709,1667362053,{},9,9,1.0,7,3,9,1667032591,1667609827,27204.0,2,9,9,9,0,0,0,0,1.0
