id,as_of_time,device_id,name,gender,age,country,city,phone,tags,register_time,login_time,ext_fields,event_count,event_value_sum,event_value_mean,event_active_days,event_unique_scene_count,event_unique_item_count,event_first_time,event_last_time,event_recency_seconds,event_count_1d,event_count_7d,event_count_30d,event_expose_count_5m,event_value_sum_5m,event_expose_count_1h,event_value_sum_1h,event_expose_count_24h,event_value_sum_24h,event_click_count,event_expose_count,event_buy_count,event_collect_count,event_stay_count,event_click_rate
user_0,1787098340,device_0,user_0,0,29,US,city_16,phone_0,"category_14,category_3,category_35,tag_62,tag_57,tag_35,tag_26",1783024343,1787517754,"{""interest_categories"":[""category_14"",""category_3"",""category_35""],""activity"":0.573}",187.0,2334.473,12.483812834224599,8.0,3.0,82.0,1785040902.0,1786911626.0,186714.0,0.0,1.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,82.0,6.0,12.0,50.0,0.31092436974789917
user_1,1787098340,device_1,user_1,1,40,CN,city_11,phone_1,"category_3,category_25,category_53,tag_56,tag_114,tag_71,tag_1",1778164785,1787518749,"{""interest_categories"":[""category_3"",""category_25"",""category_53""],""activity"":0.3395}",13.0,42.171,3.243923076923077,8.0,3.0,10.0,1785041452.0,1786624241.0,474099.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.09090909090909091
user_2,1787098340,device_2,user_2,0,61,CN,city_1,phone_2,"category_44,category_33,category_5,tag_117,tag_31,tag_96,tag_20",1746278554,1787414371,"{""interest_categories"":[""category_44"",""category_33"",""category_5""],""activity"":0.2775}",11.0,125.09400000000001,11.372181818181819,5.0,3.0,5.0,1785344668.0,1787029525.0,68815.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,0.16666666666666666
user_3,1787098340,device_3,user_3,1,60,CN,city_19,phone_3,"category_29,category_37,category_10,tag_59,tag_25,tag_97,tag_71",1740049306,1787336054,"{""interest_categories"":[""category_29"",""category_37"",""category_10""],""activity"":0.3827}",7.0,13.751000000000001,1.9644285714285716,6.0,3.0,6.0,1785117497.0,1787070633.0,27707.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0
user_4,1787098340,device_4,user_4,0,41,JP,city_2,phone_4,"category_21,category_31,category_20,tag_118,tag_97,tag_69,tag_56",1782869790,1787285224,"{""interest_categories"":[""category_21"",""category_31"",""category_20""],""activity"":0.2926}",8.0,38.899,4.862375,6.0,3.0,6.0,1785098507.0,1786974914.0,123426.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0
user_5,1787098340,device_5,user_5,1,39,US,city_4,phone_5,"category_27,category_40,category_63,tag_101,tag_117,tag_36,tag_67",1756272293,1787197199,"{""interest_categories"":[""category_27"",""category_40"",""category_63""],""activity"":0.1173}",24.0,289.653,12.068875,11.0,3.0,14.0,1785209820.0,1786987661.0,110679.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,7.0,0.125
user_6,1787098340,device_6,user_6,0,16,CN,city_17,phone_6,"category_63,category_11,category_6,tag_28,tag_39,tag_40,tag_108",1768151885,1787035901,"{""interest_categories"":[""category_63"",""category_11"",""category_6""],""activity"":0.3057}",16.0,172.206,10.762875,9.0,3.0,11.0,1785168530.0,1786822318.0,276022.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0
user_7,1787098340,device_7,user_7,1,48,CN,city_9,phone_7,"category_34,category_43,category_14,tag_75,tag_111,tag_40,tag_116",1733889583,1787428670,"{""interest_categories"":[""category_34"",""category_43"",""category_14""],""activity"":0.0106}",8.0,104.523,13.065375,5.0,2.0,5.0,1785039418.0,1786177546.0,920794.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0
user_8,1787098340,device_8,user_8,0,19,US,city_18,phone_8,"category_25,category_19,category_47,tag_41,tag_0,tag_82,tag_125",1764387077,1787364917,"{""interest_categories"":[""category_25"",""category_19"",""category_47""],""activity"":0.0211}",7.0,21.951999999999998,3.1359999999999997,6.0,3.0,6.0,1785024499.0,1786996557.0,101783.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0
user_9,1787098340,device_9,user_9,1,61,JP,city_12,phone_9,"category_10,category_62,category_8,tag_32,tag_121,tag_42,tag_67",1734339011,1787405078,"{""interest_categories"":[""category_10"",""category_62"",""category_8""],""activity"":0.1244}",8.0,63.646,7.95575,7.0,3.0,7.0,1785484263.0,1787098063.0,277.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0
